# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.105270e+01
# lRef        : 1.000000e+00
# Aref        : 1.190359e-03
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
129           	-6.132228e-03	9.284705e-02	-2.275837e-02	-1.751141e-02	-5.246959e-03
130           	-6.054825e-03	9.269153e-02	-2.267438e-02	-1.739202e-02	-5.282365e-03
131           	-5.981125e-03	9.251206e-02	-2.260300e-02	-1.728263e-02	-5.320377e-03
132           	-5.912734e-03	9.233448e-02	-2.256046e-02	-1.719296e-02	-5.367494e-03
133           	-5.851835e-03	9.216469e-02	-2.253351e-02	-1.711859e-02	-5.414919e-03
134           	-5.798007e-03	9.201664e-02	-2.251520e-02	-1.705561e-02	-5.459594e-03
135           	-5.749225e-03	9.188102e-02	-2.250711e-02	-1.700278e-02	-5.504329e-03
136           	-5.705563e-03	9.175125e-02	-2.249227e-02	-1.695170e-02	-5.540569e-03
137           	-5.665028e-03	9.159597e-02	-2.250199e-02	-1.691602e-02	-5.585968e-03
138           	-5.625969e-03	9.143422e-02	-2.251008e-02	-1.688101e-02	-5.629071e-03
139           	-5.579205e-03	9.130094e-02	-2.249744e-02	-1.682792e-02	-5.669514e-03
140           	-5.534582e-03	9.117457e-02	-2.249233e-02	-1.678075e-02	-5.711581e-03
141           	-5.496554e-03	9.105200e-02	-2.249200e-02	-1.674256e-02	-5.749449e-03
142           	-5.470816e-03	9.092508e-02	-2.252449e-02	-1.673306e-02	-5.791428e-03
143           	-5.452254e-03	9.079526e-02	-2.258033e-02	-1.674242e-02	-5.837912e-03
144           	-5.430177e-03	9.067608e-02	-2.260507e-02	-1.673271e-02	-5.872356e-03
145           	-5.400657e-03	9.056739e-02	-2.260488e-02	-1.670310e-02	-5.901783e-03
146           	-5.367906e-03	9.045583e-02	-2.261688e-02	-1.667635e-02	-5.940533e-03
147           	-5.339800e-03	9.034192e-02	-2.264787e-02	-1.666373e-02	-5.984133e-03
148           	-5.316258e-03	9.023244e-02	-2.267769e-02	-1.665510e-02	-6.022587e-03
149           	-5.295490e-03	9.013197e-02	-2.269863e-02	-1.664481e-02	-6.053827e-03
150           	-5.271969e-03	9.004008e-02	-2.270753e-02	-1.662574e-02	-6.081797e-03
151           	-5.254164e-03	8.994741e-02	-2.273667e-02	-1.662250e-02	-6.114171e-03
152           	-5.233846e-03	8.985240e-02	-2.278794e-02	-1.662782e-02	-6.160126e-03
153           	-5.217048e-03	8.976171e-02	-2.280706e-02	-1.662058e-02	-6.186481e-03
154           	-5.194220e-03	8.967549e-02	-2.278899e-02	-1.658871e-02	-6.200272e-03
155           	-5.171765e-03	8.959457e-02	-2.282031e-02	-1.658192e-02	-6.238389e-03
156           	-5.145155e-03	8.951022e-02	-2.282118e-02	-1.655574e-02	-6.265433e-03
157           	-5.131278e-03	8.943309e-02	-2.284675e-02	-1.655465e-02	-6.292095e-03
158           	-5.118557e-03	8.936216e-02	-2.286046e-02	-1.654879e-02	-6.311675e-03
159           	-5.105366e-03	8.930093e-02	-2.290077e-02	-1.655575e-02	-6.345020e-03
160           	-5.074775e-03	8.923323e-02	-2.289767e-02	-1.652361e-02	-6.374061e-03
161           	-5.041370e-03	8.916410e-02	-2.287237e-02	-1.647756e-02	-6.394816e-03
162           	-5.013841e-03	8.910026e-02	-2.285101e-02	-1.643935e-02	-6.411665e-03
163           	-4.995749e-03	8.906344e-02	-2.286183e-02	-1.642667e-02	-6.435167e-03
164           	-4.980283e-03	8.898954e-02	-2.285298e-02	-1.640677e-02	-6.446208e-03
165           	-4.961647e-03	8.892352e-02	-2.284607e-02	-1.638468e-02	-6.461389e-03
166           	-4.938080e-03	8.888119e-02	-2.284533e-02	-1.636074e-02	-6.484583e-03
167           	-4.905822e-03	8.884465e-02	-2.282260e-02	-1.631712e-02	-6.505478e-03
168           	-4.873627e-03	8.879411e-02	-2.278920e-02	-1.626823e-02	-6.520972e-03
169           	-4.843422e-03	8.874413e-02	-2.275199e-02	-1.621942e-02	-6.532574e-03
170           	-4.816198e-03	8.869904e-02	-2.271781e-02	-1.617510e-02	-6.542707e-03
171           	-4.792763e-03	8.866372e-02	-2.269082e-02	-1.613818e-02	-6.552649e-03
172           	-4.771358e-03	8.862596e-02	-2.267117e-02	-1.610694e-02	-6.564227e-03
173           	-4.749844e-03	8.858528e-02	-2.265132e-02	-1.607550e-02	-6.575816e-03
174           	-4.723994e-03	8.854269e-02	-2.262083e-02	-1.603441e-02	-6.586421e-03
175           	-4.692326e-03	8.850979e-02	-2.257043e-02	-1.597754e-02	-6.592888e-03
176           	-4.652915e-03	8.848527e-02	-2.249971e-02	-1.590277e-02	-6.596939e-03
177           	-4.619285e-03	8.845044e-02	-2.244442e-02	-1.584149e-02	-6.602924e-03
178           	-4.592063e-03	8.841314e-02	-2.239938e-02	-1.579175e-02	-6.607625e-03
179           	-4.564877e-03	8.838008e-02	-2.235482e-02	-1.574229e-02	-6.612535e-03
180           	-4.536110e-03	8.836020e-02	-2.230024e-02	-1.568623e-02	-6.614008e-03
181           	-4.512749e-03	8.832846e-02	-2.225899e-02	-1.564225e-02	-6.616747e-03
182           	-4.488568e-03	8.829880e-02	-2.220681e-02	-1.559197e-02	-6.614835e-03
183           	-4.456425e-03	8.827547e-02	-2.213674e-02	-1.552480e-02	-6.611945e-03
184           	-4.421414e-03	8.825197e-02	-2.206518e-02	-1.545400e-02	-6.611175e-03
185           	-4.386382e-03	8.822570e-02	-2.199660e-02	-1.538468e-02	-6.611917e-03
186           	-4.355947e-03	8.819937e-02	-2.193199e-02	-1.532194e-02	-6.610050e-03
187           	-4.322226e-03	8.818058e-02	-2.185736e-02	-1.525090e-02	-6.606453e-03
188           	-4.299766e-03	8.815238e-02	-2.179954e-02	-1.519953e-02	-6.600001e-03
189           	-4.274166e-03	8.813597e-02	-2.172600e-02	-1.513717e-02	-6.588836e-03
190           	-4.241240e-03	8.812364e-02	-2.164294e-02	-1.506271e-02	-6.580232e-03
191           	-4.216289e-03	8.809532e-02	-2.158430e-02	-1.500844e-02	-6.575862e-03
192           	-4.193417e-03	8.806638e-02	-2.152609e-02	-1.495646e-02	-6.569627e-03
193           	-4.159794e-03	8.805336e-02	-2.143245e-02	-1.487602e-02	-6.556430e-03
194           	-4.124362e-03	8.803953e-02	-2.134034e-02	-1.479453e-02	-6.545807e-03
195           	-4.091159e-03	8.802416e-02	-2.125288e-02	-1.471760e-02	-6.535281e-03
196           	-4.072461e-03	8.799384e-02	-2.120012e-02	-1.467252e-02	-6.527600e-03
197           	-4.047107e-03	8.798168e-02	-2.111340e-02	-1.460381e-02	-6.509594e-03
198           	-4.015753e-03	8.797529e-02	-2.101461e-02	-1.452306e-02	-6.491550e-03
199           	-3.991171e-03	8.795683e-02	-2.093853e-02	-1.446044e-02	-6.478094e-03
200           	-3.975559e-03	8.793746e-02	-2.087635e-02	-1.441373e-02	-6.462618e-03
201           	-3.951495e-03	8.792399e-02	-2.079787e-02	-1.435043e-02	-6.447438e-03
202           	-3.919362e-03	8.791323e-02	-2.070183e-02	-1.427028e-02	-6.431555e-03
203           	-3.889539e-03	8.789507e-02	-2.060957e-02	-1.419433e-02	-6.415247e-03
204           	-3.866757e-03	8.787664e-02	-2.052431e-02	-1.412891e-02	-6.395397e-03
205           	-3.842519e-03	8.786730e-02	-2.043099e-02	-1.405801e-02	-6.372976e-03
206           	-3.821776e-03	8.785562e-02	-2.035524e-02	-1.399939e-02	-6.355842e-03
207           	-3.801304e-03	8.784149e-02	-2.027638e-02	-1.393949e-02	-6.336885e-03
208           	-3.778481e-03	8.782320e-02	-2.018877e-02	-1.387286e-02	-6.315903e-03
209           	-3.754648e-03	8.781222e-02	-2.009591e-02	-1.380260e-02	-6.293308e-03
210           	-3.731815e-03	8.779781e-02	-2.000326e-02	-1.373344e-02	-6.269813e-03
211           	-3.710310e-03	8.778838e-02	-1.991726e-02	-1.366894e-02	-6.248318e-03
212           	-3.688007e-03	8.777501e-02	-1.982809e-02	-1.360205e-02	-6.226038e-03
213           	-3.667465e-03	8.776136e-02	-1.973974e-02	-1.353734e-02	-6.202406e-03
214           	-3.642990e-03	8.775323e-02	-1.964006e-02	-1.346302e-02	-6.177040e-03
215           	-3.630131e-03	8.773684e-02	-1.956327e-02	-1.341176e-02	-6.151502e-03
216           	-3.617009e-03	8.772002e-02	-1.949008e-02	-1.336205e-02	-6.128032e-03
217           	-3.592839e-03	8.771242e-02	-1.938282e-02	-1.328425e-02	-6.098570e-03
218           	-3.567720e-03	8.770399e-02	-1.927895e-02	-1.320720e-02	-6.071757e-03
219           	-3.549106e-03	8.769084e-02	-1.919509e-02	-1.314665e-02	-6.048440e-03
220           	-3.535585e-03	8.767631e-02	-1.911789e-02	-1.309453e-02	-6.023361e-03
221           	-3.519946e-03	8.766410e-02	-1.902649e-02	-1.303319e-02	-5.993299e-03
222           	-3.501689e-03	8.765270e-02	-1.893141e-02	-1.296739e-02	-5.964015e-03
223           	-3.484420e-03	8.763787e-02	-1.885183e-02	-1.291033e-02	-5.941494e-03
224           	-3.460500e-03	8.763559e-02	-1.872511e-02	-1.282305e-02	-5.902054e-03
225           	-3.445110e-03	8.762658e-02	-1.863616e-02	-1.276319e-02	-5.872971e-03
226           	-3.432897e-03	8.760975e-02	-1.856353e-02	-1.271466e-02	-5.848867e-03
227           	-3.419899e-03	8.759275e-02	-1.848294e-02	-1.266137e-02	-5.821569e-03
228           	-3.406835e-03	8.757752e-02	-1.840498e-02	-1.260933e-02	-5.795655e-03
229           	-3.386921e-03	8.757227e-02	-1.829312e-02	-1.253348e-02	-5.759639e-03
230           	-3.364905e-03	8.756847e-02	-1.817770e-02	-1.245375e-02	-5.723943e-03
231           	-3.350108e-03	8.755226e-02	-1.808756e-02	-1.239389e-02	-5.693674e-03
232           	-3.333242e-03	8.754398e-02	-1.798333e-02	-1.232491e-02	-5.658425e-03
233           	-3.332916e-03	8.752144e-02	-1.795692e-02	-1.231138e-02	-5.645547e-03
234           	-3.321920e-03	8.750606e-02	-1.787491e-02	-1.225937e-02	-5.615534e-03
235           	-3.289378e-03	8.751121e-02	-1.770210e-02	-1.214043e-02	-5.561672e-03
236           	-3.264494e-03	8.750689e-02	-1.756497e-02	-1.204698e-02	-5.517992e-03
237           	-3.261262e-03	8.748539e-02	-1.752173e-02	-1.202213e-02	-5.499601e-03
238           	-3.261053e-03	8.745718e-02	-1.750771e-02	-1.201491e-02	-5.492803e-03
239           	-3.253692e-03	8.743927e-02	-1.744182e-02	-1.197460e-02	-5.467216e-03
240           	-3.223274e-03	8.745046e-02	-1.726036e-02	-1.185345e-02	-5.406906e-03
241           	-3.168688e-03	8.746765e-02	-1.701987e-02	-1.167862e-02	-5.341247e-03
242           	-3.177446e-03	8.743574e-02	-1.701364e-02	-1.168427e-02	-5.329373e-03
243           	-3.204038e-03	8.739363e-02	-1.703850e-02	-1.172329e-02	-5.315212e-03
244           	-3.197875e-03	8.737562e-02	-1.698079e-02	-1.168827e-02	-5.292519e-03
245           	-3.151298e-03	8.739089e-02	-1.679005e-02	-1.154632e-02	-5.243729e-03
246           	-3.109996e-03	8.739280e-02	-1.662104e-02	-1.142051e-02	-5.200522e-03
247           	-3.106760e-03	8.737432e-02	-1.656916e-02	-1.139134e-02	-5.177821e-03
248           	-3.109832e-03	8.735140e-02	-1.652644e-02	-1.137305e-02	-5.153387e-03
249           	-3.107893e-03	8.733614e-02	-1.641778e-02	-1.131678e-02	-5.100996e-03
250           	-3.067652e-03	8.733740e-02	-1.621243e-02	-1.117387e-02	-5.038561e-03
251           	-3.059749e-03	8.732061e-02	-1.617959e-02	-1.114954e-02	-5.030046e-03
252           	-3.053318e-03	8.730305e-02	-1.614811e-02	-1.112738e-02	-5.020739e-03
253           	-3.027292e-03	8.730293e-02	-1.600154e-02	-1.102806e-02	-4.973480e-03
254           	-3.022637e-03	8.728526e-02	-1.594057e-02	-1.099292e-02	-4.947647e-03
255           	-3.012761e-03	8.726978e-02	-1.585779e-02	-1.094165e-02	-4.916133e-03
256           	-2.964997e-03	8.726568e-02	-1.558610e-02	-1.075805e-02	-4.828055e-03
257           	-2.961825e-03	8.724886e-02	-1.555164e-02	-1.073764e-02	-4.813996e-03
258           	-2.961429e-03	8.723720e-02	-1.552378e-02	-1.072332e-02	-4.800460e-03
259           	-2.957455e-03	8.722296e-02	-1.548885e-02	-1.070188e-02	-4.786970e-03
260           	-2.947682e-03	8.721089e-02	-1.541919e-02	-1.065728e-02	-4.761914e-03
261           	-2.919252e-03	8.720652e-02	-1.524956e-02	-1.054403e-02	-4.705528e-03
262           	-2.880474e-03	8.720212e-02	-1.504931e-02	-1.040513e-02	-4.644183e-03
263           	-2.846940e-03	8.719168e-02	-1.485370e-02	-1.027379e-02	-4.579908e-03
264           	-2.824892e-03	8.717239e-02	-1.471783e-02	-1.018381e-02	-4.534025e-03
265           	-2.843386e-03	8.715319e-02	-1.479638e-02	-1.024158e-02	-4.554805e-03
266           	-2.850907e-03	8.713698e-02	-1.481435e-02	-1.025808e-02	-4.556266e-03
267           	-2.832961e-03	8.714854e-02	-1.465334e-02	-1.015963e-02	-4.493709e-03
268           	-2.814510e-03	8.713063e-02	-1.455745e-02	-1.009324e-02	-4.464217e-03
269           	-2.777188e-03	8.710969e-02	-1.438909e-02	-9.971731e-03	-4.417355e-03
270           	-2.727985e-03	8.709647e-02	-1.416636e-02	-9.811165e-03	-4.355195e-03
271           	-2.734581e-03	8.708733e-02	-1.415044e-02	-9.809799e-03	-4.340637e-03
272           	-2.743752e-03	8.708552e-02	-1.413082e-02	-9.809164e-03	-4.321661e-03
273           	-2.742649e-03	8.706970e-02	-1.410039e-02	-9.792843e-03	-4.307546e-03
274           	-2.720634e-03	8.705873e-02	-1.395545e-02	-9.698360e-03	-4.257093e-03
275           	-2.678359e-03	8.704873e-02	-1.375689e-02	-9.556806e-03	-4.200088e-03
276           	-2.628217e-03	8.703663e-02	-1.353517e-02	-9.395800e-03	-4.139366e-03
277           	-2.625053e-03	8.702723e-02	-1.349685e-02	-9.373476e-03	-4.123370e-03
278           	-2.635450e-03	8.701502e-02	-1.350500e-02	-9.387950e-03	-4.117051e-03
279           	-2.637161e-03	8.700201e-02	-1.347951e-02	-9.376916e-03	-4.102593e-03
280           	-2.582890e-03	8.700121e-02	-1.314962e-02	-9.157699e-03	-3.991920e-03
281           	-2.576259e-03	8.698623e-02	-1.314694e-02	-9.149727e-03	-3.997208e-03
282           	-2.573192e-03	8.697075e-02	-1.314605e-02	-9.146215e-03	-3.999830e-03
283           	-2.565445e-03	8.695801e-02	-1.308938e-02	-9.110135e-03	-3.979246e-03
284           	-2.548551e-03	8.694959e-02	-1.294512e-02	-9.021111e-03	-3.924010e-03
285           	-2.514579e-03	8.694338e-02	-1.273731e-02	-8.883235e-03	-3.854077e-03
286           	-2.482898e-03	8.693470e-02	-1.258822e-02	-8.777009e-03	-3.811213e-03
287           	-2.467729e-03	8.692275e-02	-1.252992e-02	-8.732691e-03	-3.797233e-03
288           	-2.433540e-03	8.691198e-02	-1.236751e-02	-8.617296e-03	-3.750217e-03
289           	-2.435490e-03	8.690069e-02	-1.235190e-02	-8.611441e-03	-3.740461e-03
