# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
278           	2.378927e-05	8.618527e-06	1.499192e-04
279           	2.269084e-05	8.556289e-06	1.486257e-04
280           	2.145549e-05	8.494765e-06	1.472305e-04
281           	2.072165e-05	8.451593e-06	1.443377e-04
282           	2.030313e-05	8.379777e-06	1.430773e-04
283           	1.942991e-05	8.304392e-06	1.428730e-04
284           	1.845362e-05	8.235076e-06	1.421188e-04
285           	1.802210e-05	8.171099e-06	1.407665e-04
286           	1.758584e-05	8.113155e-06	1.390237e-04
287           	1.699259e-05	8.057138e-06	1.369242e-04
288           	1.639895e-05	7.995397e-06	1.349643e-04
289           	1.575315e-05	7.943718e-06	1.320300e-04
290           	1.680149e-05	7.875845e-06	1.301992e-04
291           	1.571209e-05	7.816314e-06	1.265536e-04
292           	1.429688e-05	7.757793e-06	1.238190e-04
293           	1.397604e-05	7.700239e-06	1.222427e-04
294           	1.367937e-05	7.652095e-06	1.209834e-04
295           	1.344452e-05	7.608296e-06	1.193368e-04
296           	1.315195e-05	7.564333e-06	1.170404e-04
297           	1.257922e-05	7.517642e-06	1.144635e-04
298           	1.230170e-05	7.472207e-06	1.118385e-04
299           	1.179671e-05	7.429809e-06	1.095238e-04
300           	1.212508e-05	7.382680e-06	1.078820e-04
301           	1.168218e-05	7.335041e-06	1.062052e-04
302           	1.138094e-05	7.293719e-06	1.039989e-04
303           	1.115226e-05	7.256553e-06	1.015083e-04
304           	1.096895e-05	7.223014e-06	9.912043e-05
305           	1.061382e-05	7.187694e-06	9.713618e-05
306           	1.061335e-05	7.146480e-06	9.539797e-05
307           	1.045124e-05	7.112411e-06	9.290051e-05
308           	1.013281e-05	7.081221e-06	9.025232e-05
309           	1.033875e-05	7.054094e-06	8.823555e-05
310           	9.807879e-06	7.012992e-06	8.653185e-05
311           	9.672974e-06	6.970537e-06	8.478254e-05
312           	9.703426e-06	6.929059e-06	8.322112e-05
313           	9.519078e-06	6.897641e-06	8.072324e-05
314           	9.403884e-06	6.872028e-06	7.825497e-05
315           	9.199780e-06	6.848400e-06	7.640558e-05
316           	9.040985e-06	6.821564e-06	7.489576e-05
317           	9.540523e-06	6.798186e-06	7.310764e-05
318           	9.289772e-06	6.778497e-06	7.169015e-05
319           	9.295236e-06	6.750719e-06	6.983668e-05
320           	8.923034e-06	6.721951e-06	6.783249e-05
321           	8.635733e-06	6.692441e-06	6.642276e-05
322           	8.768196e-06	6.668192e-06	6.486786e-05
323           	8.809310e-06	6.644198e-06	6.354509e-05
324           	8.601902e-06	6.630024e-06	6.186849e-05
325           	8.666925e-06	6.610569e-06	6.055286e-05
326           	8.425056e-06	6.596591e-06	5.908184e-05
327           	8.336289e-06	6.574031e-06	5.805197e-05
328           	8.410962e-06	6.558471e-06	5.717977e-05
329           	8.006535e-06	6.534714e-06	5.603657e-05
330           	7.624437e-06	6.511018e-06	5.507299e-05
331           	7.563141e-06	6.491884e-06	5.392785e-05
332           	7.502657e-06	6.471575e-06	5.307829e-05
333           	7.901253e-06	6.456023e-06	5.203089e-05
334           	7.471970e-06	6.445750e-06	5.087208e-05
335           	7.377041e-06	6.436385e-06	5.012700e-05
336           	7.389004e-06	6.413341e-06	4.985578e-05
337           	7.314791e-06	6.393077e-06	4.944386e-05
338           	7.591975e-06	6.380593e-06	4.892718e-05
339           	7.305856e-06	6.366890e-06	4.849697e-05
340           	6.861023e-06	6.351846e-06	4.759640e-05
341           	6.720531e-06	6.334539e-06	4.713620e-05
342           	6.729515e-06	6.318224e-06	4.664869e-05
343           	6.748695e-06	6.306694e-06	4.602063e-05
344           	6.976148e-06	6.298872e-06	4.605565e-05
345           	7.413716e-06	6.285563e-06	4.563644e-05
346           	6.718553e-06	6.269636e-06	4.521603e-05
347           	6.565245e-06	6.252686e-06	4.484940e-05
348           	6.416848e-06	6.236044e-06	4.461510e-05
349           	6.322704e-06	6.229246e-06	4.545911e-05
350           	6.431357e-06	6.217726e-06	4.531100e-05
351           	6.362893e-06	6.207375e-06	4.504867e-05
352           	6.296235e-06	6.195073e-06	4.483528e-05
353           	6.508139e-06	6.190326e-06	4.443310e-05
