# y+ ()       
# Time        	patch         	min           	max           	average       
1000          	wall-h2	1.730755e+01	2.278855e+01	1.943425e+01
1000          	airfoil-h2	3.757871e-02	8.833716e-02	6.784838e-02
1000          	wall-h1	1.645915e+01	1.730106e+01	1.690337e+01
1000          	airfoil-h1	3.261326e-02	1.024132e-01	9.152802e-02
1050          	airfoil-l1	4.047929e-02	1.030549e-01	9.109444e-02
1050          	wall-l1	1.623353e+01	1.704359e+01	1.666114e+01
1050          	airfoil-l2	3.766390e-02	8.675564e-02	6.769254e-02
1050          	wall-l2	1.704989e+01	2.222767e+01	1.908262e+01
1050          	wall-h2	1.731669e+01	2.280562e+01	1.944622e+01
1050          	airfoil-h2	3.736782e-02	8.829427e-02	6.769838e-02
1050          	wall-h1	1.646970e+01	1.731019e+01	1.691329e+01
1050          	airfoil-h1	3.262594e-02	1.024151e-01	9.153010e-02
1100          	airfoil-l1	4.047000e-02	1.030422e-01	9.107307e-02
1100          	wall-l1	1.624241e+01	1.705405e+01	1.667160e+01
1100          	airfoil-l2	3.747294e-02	8.670926e-02	6.755505e-02
1100          	wall-l2	1.706034e+01	2.225340e+01	1.909661e+01
1100          	wall-h2	1.732785e+01	2.282270e+01	1.945989e+01
1100          	airfoil-h2	3.718074e-02	8.826067e-02	6.756708e-02
1100          	wall-h1	1.647908e+01	1.732135e+01	1.692340e+01
1100          	airfoil-h1	3.263708e-02	1.024166e-01	9.153274e-02
1150          	airfoil-l1	4.046139e-02	1.030323e-01	9.105540e-02
1150          	wall-l1	1.624878e+01	1.706507e+01	1.668016e+01
1150          	airfoil-l2	3.730290e-02	8.667029e-02	6.743367e-02
1150          	wall-l2	1.707136e+01	2.226537e+01	1.910663e+01
1150          	wall-h2	1.733870e+01	2.284425e+01	1.947399e+01
1150          	airfoil-h2	3.701469e-02	8.823456e-02	6.745225e-02
1150          	wall-h1	1.648784e+01	1.733218e+01	1.693288e+01
1150          	airfoil-h1	3.264745e-02	1.024181e-01	9.153562e-02
1200          	airfoil-l1	4.045291e-02	1.030244e-01	9.104080e-02
1200          	wall-l1	1.625171e+01	1.707161e+01	1.668505e+01
1200          	airfoil-l2	3.715115e-02	8.663764e-02	6.732659e-02
1200          	wall-l2	1.707792e+01	2.226811e+01	1.911309e+01
